t,S,Analytic,QNN$_7$,QNN$_4$,R-QNN$^{(2)}_4$,R-QNN$^{(3)}_4$
0.0,7.026125625347415,5.644191634569458e-18,-1.0247064,-2.4765754,-0.75060767,-0.37192678
0.0,7.115063924402446,9.78182878798099e-18,-1.0357797,-2.4942203,-0.75811785,-0.37737584
0.0,7.2040022234574765,1.6773676768300353e-17,-1.0468113,-2.5116353,-0.7655863,-0.38285828
0.0,7.292940522512507,2.846820744954897e-17,-1.0577679,-2.528813,-0.7730381,-0.3883407
0.0,7.381878821567538,4.78348030572511e-17,-1.0686743,-2.5457568,-0.7804398,-0.39383984
0.0,7.470817120622568,7.959818594397214e-17,-1.079464,-2.562469,-0.7878081,-0.39935565
0.0,7.559755419677599,1.3120673623846332e-16,-1.0902286,-2.5789475,-0.7951264,-0.40487146
0.0,7.64869371873263,2.142973324289777e-16,-1.100893,-2.5951862,-0.80241126,-0.41038728
0.0,7.73763201778766,3.468922510500188e-16,-1.1115074,-2.6112018,-0.80967945,-0.41593647
0.0,7.826570316842691,5.566664163209045e-16,-1.1220384,-2.6269772,-0.8168642,-0.42147732
0.0,7.915508615897721,8.857669612238025e-16,-1.1324859,-2.6425233,-0.8240239,-0.4270265
0.0,8.004446914952752,1.397866371493222e-15,-1.1428666,-2.6578336,-0.83113354,-0.43260074
0.0,8.093385214007782,2.1884048793396017e-15,-1.1531806,-2.6729167,-0.8382265,-0.43815827
0.0,8.182323513062814,3.399352746316343e-15,-1.1634195,-2.6877618,-0.8452527,-0.4437492
0.0,8.271261812117844,5.24033179899741e-15,-1.1735749,-2.7023754,-0.85225385,-0.4493401
0.0,8.360200111172874,8.018620923182154e-15,-1.1836636,-2.7167594,-0.8591966,-0.45492268
0.0,8.449138410227905,1.2181487187962073e-14,-1.1936605,-2.7309098,-0.8660976,-0.46052194
0.0,8.538076709282935,1.8375502966887533e-14,-1.2035823,-2.7448246,-0.8729653,-0.4661212
0.0,8.627015008337965,2.7529118612959115e-14,-1.213429,-2.7585077,-0.87976617,-0.4717288
0.0,8.715953307392997,4.096687158829961e-14,-1.2231755,-2.7719572,-0.886542,-0.47734475
0.0,8.804891606448027,6.056636602759688e-14,-1.232872,-2.7851794,-0.89325947,-0.48295236
0.0,8.893829905503058,8.89727249294943e-14,-1.2424684,-2.798172,-0.89994353,-0.48855996
0.0,8.982768204558088,1.298898146478143e-13,-1.2519646,-2.8109245,-0.9065775,-0.49418426
0.0,9.071706503613118,1.8847343094091523e-13,-1.2614107,-2.82345,-0.9131531,-0.49979186
0.0,9.16064480266815,2.7185913832532786e-13,-1.2707567,-2.8357458,-0.9196786,-0.50541615
0.0,9.24958310172318,3.8986695915796586e-13,-1.2800193,-2.84781,-0.92618746,-0.51102376
0.0,9.33852140077821,5.559370855400199e-13,-1.2891984,-2.8596387,-0.93259615,-0.51664805
0.0,9.427459699833241,7.883657996378546e-13,-1.2982857,-2.871246,-0.93898815,-0.522264
0.0,9.516397998888271,1.1119295094935735e-12,-1.3072729,-2.8826137,-0.9453384,-0.52786326
0.0,9.605336297943301,1.5600080371954594e-12,-1.3161933,-2.8937495,-0.9516303,-0.53348756
0.0,9.694274596998333,2.1773469787631193e-12,-1.3250136,-2.9046664,-0.9578721,-0.5390785
0.0,9.783212896053364,3.02363420027751e-12,-1.3337421,-2.9153433,-0.9640555,-0.54470277
0.0,9.872151195108394,4.178108640818474e-12,-1.3423872,-2.9257908,-0.97019714,-0.550277
0.0,9.961089494163424,5.7454720704987195e-12,-1.3509405,-2.9360108,-0.97627205,-0.5558846
0.0,10.050027793218455,7.863438050962694e-12,-1.3593936,-2.9459996,-0.9823052,-0.5614588
0.0,10.138966092273485,1.0712329082948794e-11,-1.3677549,-2.9557586,-0.98828,-0.5670414
0.0,10.227904391328517,1.4527225114501024e-11,-1.3760328,-2.9652798,-0.99421304,-0.5726073
0.0,10.316842690383547,1.9613276865510354e-11,-1.3841939,-2.974584,-1.0000961,-0.57818985
0.0,10.405780989438577,2.636492880258693e-11,-1.3922882,-2.9836485,-1.005904,-0.5837307
0.0,10.494719288493608,3.528995246886961e-11,-1.4002657,-2.9924917,-1.0116701,-0.58927155
0.0,10.583657587548638,4.7039375063017806e-11,-1.4081264,-3.0011034,-1.0173779,-0.5948124
0.0,10.67259588660367,6.244460495940961e-11,-1.4159286,-3.0094836,-1.0230522,-0.6003449
0.0,10.7615341856587,8.256331005598879e-11,-1.4236224,-3.0176342,-1.0286348,-0.60585237
0.0,10.85047248471373,1.0873590174955825e-10,-1.431216,-3.0255594,-1.0341923,-0.6113348
0.0,10.93941078376876,1.4265482285614266e-10,-1.4387012,-3.0332513,-1.0396497,-0.61684227
0.0,11.028349082823791,1.864492384046931e-10,-1.4460778,-3.0407195,-1.0450904,-0.622308
0.0,11.117287381878821,2.4278819104700856e-10,-1.453371,-3.0479586,-1.050456,-0.6277821
0.0,11.206225680933853,3.150058156112987e-10,-1.4605474,-3.0549703,-1.0557632,-0.6332228
0.0,11.295163979988883,4.072528185282132e-10,-1.4676487,-3.0617523,-1.061012,-0.63863015
0.0,11.384102279043914,5.246791266088634e-10,-1.4746165,-3.068305,-1.066194,-0.6440542
0.0,11.473040578098944,6.736534058071143e-10,-1.4814925,-3.0746303,-1.0713344,-0.6494615
