S,V_Analytic_t0.00,V_Analytic_t0.50,V_Analytic_t1.00,V_QNN$_7$_t0.00,V_QNN$_7$_t0.50,V_QNN$_7$_t1.00,V_QNN$_4$_t0.00,V_QNN$_4$_t0.50,V_QNN$_4$_t1.00,V_R-QNN$^{(2)}_4$_t0.00,V_R-QNN$^{(2)}_4$_t0.50,V_R-QNN$^{(2)}_4$_t1.00,V_R-QNN$^{(3)}_4$_t0.00,V_R-QNN$^{(3)}_4$_t0.50,V_R-QNN$^{(3)}_4$_t1.00
129.441201000834,91.39202402181148,90.4288045197007,89.44120100083401,91.04756,90.06977,89.07433,91.49439,90.491486,89.4874,91.44837,90.40667,89.36639,91.35022,90.31587,89.28404
129.57464553794827,91.52546855889345,90.56224905681496,89.57464553794827,91.18106,90.202385,89.20598,91.62624,90.62349,89.619576,91.588425,90.54661,89.50616,91.48993,90.45532,89.4232
129.70809007506256,91.65891309597652,90.69569359392925,89.70809007506256,91.31463,90.33508,89.33772,91.75808,90.75548,89.75171,91.7285,90.68655,89.645935,91.62968,90.59483,89.56239
129.84153461217682,91.79235763306056,90.8291381310435,89.84153461217682,91.44828,90.46786,89.46953,91.889915,90.88744,89.88387,91.8686,90.82653,89.78575,91.76944,90.73435,89.70163
129.97497914929107,91.92580217014559,90.96258266815776,89.97497914929107,91.58199,90.60068,89.60138,92.021706,91.01941,90.01597,92.00866,90.96649,89.925545,91.90922,90.873886,89.84089
130.10842368640533,92.05924670723152,91.09602720527202,90.10842368640533,91.71577,90.7336,89.73333,92.15352,91.15135,90.148094,92.14873,91.10647,90.0654,92.04903,91.013466,89.98018
130.2418682235196,92.19269124431841,91.22947174238628,90.24186822351959,91.849625,90.86656,89.86535,92.28526,91.28327,90.28013,92.28883,91.246475,90.20526,92.18886,91.15306,90.1195
130.37531276063385,92.32613578140615,91.36291627950054,90.37531276063385,91.98353,90.9996,89.99743,92.41699,91.41515,90.41218,92.42891,91.38648,90.345116,92.32868,91.29268,90.25885
130.5087572977481,92.45958031849477,91.4963608166148,90.5087572977481,92.117516,91.13272,90.12956,92.548744,91.54703,90.54421,92.568985,91.526474,90.48499,92.46854,91.43232,90.39824
130.6422018348624,92.59302485558422,91.62980535372908,90.64220183486239,92.25158,91.26591,90.261795,92.68046,91.6789,90.67624,92.70908,91.666504,90.62489,92.60841,91.57199,90.53765
130.77564637197665,92.72646939267446,91.76324989084334,90.77564637197665,92.3857,91.399155,90.39408,92.81213,91.81074,90.8082,92.84916,91.806526,90.7648,92.74829,91.71166,90.67708
130.9090909090909,92.85991392976548,91.8966944279576,90.9090909090909,92.51988,91.53248,90.52645,92.94382,91.942566,90.94019,92.98926,91.946556,90.904724,92.88819,91.851364,90.816536
131.04253544620516,92.99335846685725,92.03013896507186,91.04253544620516,92.65414,91.66588,90.658875,93.075485,92.07436,91.072136,93.12934,92.08659,91.044655,93.02811,91.99109,90.95604
131.17597998331942,93.12680300394973,92.16358350218611,91.17597998331942,92.78847,91.79934,90.79138,93.20714,92.206154,91.20407,93.26942,92.226616,91.1846,93.16802,92.13083,91.09554
131.30942452043368,93.26024754104293,92.29702803930037,91.30942452043368,92.92286,91.93286,90.92396,93.338745,92.33791,91.33601,93.40949,92.36666,91.32456,93.30796,92.270584,91.235085
131.44286905754794,93.39369207813678,92.43047257641463,91.44286905754794,93.05732,92.06647,91.05659,93.47035,92.46968,91.46788,93.54957,92.506714,91.464516,93.44791,92.410385,91.37466
131.57631359466222,93.52713661523134,92.56391711352892,91.57631359466222,93.19184,92.20014,91.1893,93.601944,92.60142,91.59978,93.68963,92.64675,91.604485,93.587845,92.55016,91.51423
131.70975813177648,93.6605811523265,92.69736165064317,91.70975813177648,93.32643,92.33388,91.3221,93.73351,92.73312,91.73159,93.82967,92.78679,91.74445,93.72781,92.68997,91.65383
131.84320266889074,93.79402568942228,92.83080618775743,91.84320266889074,93.46109,92.4677,91.454956,93.86508,92.86484,91.863464,93.969734,92.926834,91.884445,93.86778,92.8298,91.793465
131.976647206005,93.92747022651865,92.96425072487169,91.976647206005,93.59582,92.60157,91.58788,93.996635,92.99652,91.995285,94.10976,93.06687,92.02443,94.00776,92.969635,91.93311
132.11009174311926,94.06091476361561,93.09769526198595,92.11009174311926,93.73061,92.73552,91.72089,94.128174,93.12818,92.127106,94.249794,93.2069,92.16442,94.147736,93.10948,92.07277
132.2435362802335,94.19435930071313,93.2311397991002,92.24353628023351,93.86547,92.86955,91.853966,94.259674,93.259834,92.2589,94.3898,93.34693,92.30441,94.287735,93.249344,92.212456
132.37698081734777,94.32780383781116,93.36458433621446,92.37698081734777,94.0004,93.00365,91.9871,94.39118,93.39147,92.39067,94.52981,93.48696,92.444405,94.42772,93.38922,92.352165
132.51042535446206,94.46124837490976,93.49802887332875,92.51042535446206,94.13538,93.137794,92.120316,94.52266,93.52309,92.52243,94.669785,93.626976,92.584404,94.5677,93.52911,92.491875
132.64386989157632,94.5946929120088,93.63147341044301,92.64386989157632,94.27043,93.27202,92.25359,94.654144,93.65472,92.654175,94.80975,93.766975,92.72439,94.707695,93.66898,92.63161
132.77731442869057,94.72813744910837,93.76491794755727,92.77731442869057,94.40556,93.40633,92.38696,94.7856,93.78629,92.7859,94.94973,93.90698,92.86438,94.8477,93.80889,92.77136
132.91075896580483,94.86158198620839,93.89836248467152,92.91075896580483,94.54073,93.54067,92.520386,94.91703,93.91787,92.917595,95.08967,94.046974,93.00437,94.987686,93.94878,92.911125
133.0442035029191,94.99502652330887,94.03180702178578,93.04420350291909,94.67598,93.67511,92.653885,95.04847,94.04943,93.04929,95.2296,94.18696,93.14436,95.12768,94.08869,93.050896
133.17764804003335,95.1284710604098,94.16525155890004,93.17764804003335,94.81131,93.809616,92.78745,95.17989,94.18097,93.18098,95.369514,94.326935,93.284355,95.26767,94.228615,93.19068
133.3110925771476,95.26191559751115,94.2986960960143,93.3110925771476,94.94666,93.944176,92.9211,95.31127,94.3125,93.31265,95.509384,94.46689,93.42432,95.40765,94.36853,93.330475
133.4445371142619,95.39536013461299,94.43214063312858,93.44453711426189,95.082115,94.07882,93.0548,95.44267,94.444016,93.4443,95.64926,94.60684,93.56429,95.54763,94.50845,93.47029
133.57798165137615,95.52880467171514,94.56558517024284,93.57798165137615,95.21761,94.213524,93.18858,95.57407,94.575554,93.57594,95.78912,94.74679,93.704285,95.68761,94.64838,93.6101
133.7114261884904,95.66224920881768,94.6990297073571,93.7114261884904,95.35317,94.34829,93.32243,95.7054,94.707016,93.70754,95.92894,94.8867,93.84423,95.827576,94.7883,93.74992
133.84487072560466,95.79569374592063,94.83247424447136,93.84487072560466,95.4888,94.48313,93.45636,95.83676,94.8385,93.83916,96.068726,95.026596,93.98417,95.967545,94.92822,93.88975
133.97831526271892,95.92913828302392,94.96591878158561,93.97831526271892,95.62448,94.618034,93.590355,95.96812,94.96997,93.97075,96.20852,95.16649,94.12412,96.107506,95.06816,94.0296
134.11175979983318,96.06258282012756,95.09936331869987,94.11175979983318,95.760216,94.753006,93.72441,96.09946,95.10143,94.102325,96.348274,95.30635,94.26404,96.24744,95.20808,94.16945
134.24520433694744,96.19602735723157,95.23280785581413,94.24520433694744,95.896034,94.88805,93.85854,96.23077,95.23286,94.233894,96.48799,95.44619,94.40397,96.38739,95.34799,94.30929
134.37864887406172,96.32947189433591,95.36625239292842,94.37864887406172,96.031906,95.023155,93.99275,96.362076,95.364296,94.365456,96.6277,95.586044,94.54387,96.52731,95.48792,94.44916
134.51209341117598,96.46291643144056,95.49969693004267,94.51209341117598,96.16782,95.15831,94.12702,96.493355,95.495705,94.496994,96.767365,95.725845,94.68377,96.66721,95.62783,94.589
134.64553794829024,96.5963609685455,95.63314146715693,94.64553794829024,96.3038,95.293564,94.261375,96.624664,95.62712,94.62852,96.90701,95.86564,94.82364,96.80712,95.767746,94.72886
134.7789824854045,96.72980550565075,95.76658600427119,94.7789824854045,96.43986,95.428856,94.39579,96.755936,95.75851,94.76002,97.04662,96.005394,94.96351,96.947014,95.90765,94.86873
134.91242702251876,96.86325004275628,95.90003054138545,94.91242702251876,96.57596,95.56421,94.53027,96.8872,95.889885,94.89154,97.186195,96.145134,95.103355,97.08687,96.04752,95.00858
135.045871559633,96.99669457986208,96.0334750784997,95.04587155963301,96.71211,95.69964,94.66482,97.018456,96.02126,95.02302,97.32575,96.28486,95.243195,97.22674,96.18742,95.14844
