model_type,run_id_prefix,model_class,activation,lr,epochs,entangler,hidden,blocks,n_qubits,k,n_vertex,n_layers,seed,run_id,mse_teste_normalizado,mse_teste_desnormalizado,num_params,training_time_sec,model_path,loss_history_path,final_total_loss,mean_last_100_loss
HCQNN,hcqnn_basic_mlp,MLP,Tanh(),0.002,15000,basic,3,3,4,2,8,2,1925,hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_8_n_l_2_seed_1925,2.2568130589206703e-05,0.4423353970050812,62,1799.640939950943,experimentos_pinn/modelos_salvos/modelo_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_8_n_l_2_seed_1925.pth,experimentos_pinn/historicos_loss/loss_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_8_n_l_2_seed_1925.json,3.382902286830358e-05,3.394683044461999e-05
HCQNN,hcqnn_basic_mlp,MLP,Tanh(),0.002,15000,basic,3,3,4,2,8,2,1926,hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_8_n_l_2_seed_1926,1.83024112629937e-05,0.35872727632522583,62,1761.7925651073456,experimentos_pinn/modelos_salvos/modelo_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_8_n_l_2_seed_1926.pth,experimentos_pinn/historicos_loss/loss_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_8_n_l_2_seed_1926.json,2.7891121135326102e-05,2.7244374177826102e-05
HCQNN,hcqnn_basic_mlp,MLP,Tanh(),0.002,15000,basic,3,3,4,2,8,3,1924,hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_8_n_l_3_seed_1924,8.597584383096546e-06,0.16851267218589783,66,2002.229992866516,experimentos_pinn/modelos_salvos/modelo_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_8_n_l_3_seed_1924.pth,experimentos_pinn/historicos_loss/loss_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_8_n_l_3_seed_1924.json,1.2653172234422527e-05,1.2964121760887792e-05
HCQNN,hcqnn_basic_mlp,MLP,Tanh(),0.002,15000,basic,3,3,4,2,8,3,1925,hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_8_n_l_3_seed_1925,9.556065379001666e-06,0.18729886412620544,66,2009.8830165863037,experimentos_pinn/modelos_salvos/modelo_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_8_n_l_3_seed_1925.pth,experimentos_pinn/historicos_loss/loss_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_8_n_l_3_seed_1925.json,1.1404147699067835e-05,1.1444946030678693e-05
HCQNN,hcqnn_basic_mlp,MLP,Tanh(),0.002,15000,basic,3,3,4,2,8,3,1926,hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_8_n_l_3_seed_1926,1.1012081813532859e-05,0.21583673357963562,66,2055.368505001068,experimentos_pinn/modelos_salvos/modelo_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_8_n_l_3_seed_1926.pth,experimentos_pinn/historicos_loss/loss_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_8_n_l_3_seed_1926.json,1.4579101843992248e-05,1.5763618002893053e-05
HCQNN,hcqnn_basic_mlp,MLP,Tanh(),0.002,15000,basic,3,3,4,2,8,5,1924,hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_8_n_l_5_seed_1924,1.8754757547867484e-05,0.36759328842163086,74,2606.192260980606,experimentos_pinn/modelos_salvos/modelo_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_8_n_l_5_seed_1924.pth,experimentos_pinn/historicos_loss/loss_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_8_n_l_5_seed_1924.json,2.7045736715081148e-05,3.514842193908407e-05
HCQNN,hcqnn_basic_mlp,MLP,Tanh(),0.002,15000,basic,3,3,4,2,8,5,1925,hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_8_n_l_5_seed_1925,1.9541603251127526e-05,0.3830154538154602,74,2542.8183069229126,experimentos_pinn/modelos_salvos/modelo_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_8_n_l_5_seed_1925.pth,experimentos_pinn/historicos_loss/loss_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_8_n_l_5_seed_1925.json,2.7680162020260468e-05,4.5965662338858236e-05
HCQNN,hcqnn_basic_mlp,MLP,Tanh(),0.002,15000,basic,3,3,4,2,8,5,1926,hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_8_n_l_5_seed_1926,2.462146403559018e-05,0.4825807511806488,74,2583.5646443367004,experimentos_pinn/modelos_salvos/modelo_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_8_n_l_5_seed_1926.pth,experimentos_pinn/historicos_loss/loss_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_8_n_l_5_seed_1926.json,3.4329768823226914e-05,3.938922756788088e-05
HCQNN,hcqnn_basic_mlp,MLP,Tanh(),0.002,15000,basic,3,3,4,2,12,2,1924,hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_12_n_l_2_seed_1924,7.506510428356705e-06,0.14712756872177124,66,2637.514869451523,experimentos_pinn/modelos_salvos/modelo_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_12_n_l_2_seed_1924.pth,experimentos_pinn/historicos_loss/loss_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_12_n_l_2_seed_1924.json,8.186995728465263e-06,8.238601139964885e-06
HCQNN,hcqnn_basic_mlp,MLP,Tanh(),0.002,15000,basic,3,3,4,2,12,2,1925,hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_12_n_l_2_seed_1925,1.2583485840877984e-05,0.2466362863779068,66,2524.4344034194946,experimentos_pinn/modelos_salvos/modelo_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_12_n_l_2_seed_1925.pth,experimentos_pinn/historicos_loss/loss_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_12_n_l_2_seed_1925.json,1.7209145880769938e-05,1.4765036321477964e-05
HCQNN,hcqnn_basic_mlp,MLP,Tanh(),0.002,15000,basic,3,3,4,2,12,2,1926,hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_12_n_l_2_seed_1926,1.1099245057266671e-05,0.21754516661167145,66,2479.418299436569,experimentos_pinn/modelos_salvos/modelo_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_12_n_l_2_seed_1926.pth,experimentos_pinn/historicos_loss/loss_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_12_n_l_2_seed_1926.json,1.4506505976896733e-05,1.4562698961526621e-05
HCQNN,hcqnn_basic_mlp,MLP,Tanh(),0.002,15000,basic,3,3,4,2,12,3,1924,hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_12_n_l_3_seed_1924,7.650080078747123e-06,0.1499415934085846,70,2723.5935850143433,experimentos_pinn/modelos_salvos/modelo_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_12_n_l_3_seed_1924.pth,experimentos_pinn/historicos_loss/loss_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_12_n_l_3_seed_1924.json,9.048314495885279e-06,9.723548173496965e-06
HCQNN,hcqnn_basic_mlp,MLP,Tanh(),0.002,15000,basic,3,3,4,2,12,3,1925,hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_12_n_l_3_seed_1925,1.0432658200443257e-05,0.2044801115989685,70,2727.666894197464,experimentos_pinn/modelos_salvos/modelo_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_12_n_l_3_seed_1925.pth,experimentos_pinn/historicos_loss/loss_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_12_n_l_3_seed_1925.json,1.3493125152308494e-05,1.4153981483104872e-05
