model_type,run_id_prefix,lr,epochs,activation,hidden,blocks,seed,run_id,mse_teste_normalizado,mse_teste_desnormalizado,num_params,training_time_sec,model_path,loss_history_path,final_total_loss,mean_last_100_loss
MLP,mlp,0.005,15000,Tanh(),2,3,1926,mlp_n_2_b_3_seed_1926,7.683393050683662e-06,0.15059450268745422,21,42.586708068847656,experimentos_pinn/modelos_salvos/modelo_mlp_n_2_b_3_seed_1926.pth,experimentos_pinn/historicos_loss/loss_mlp_n_2_b_3_seed_1926.json,7.576723874080926e-06,7.780631594869192e-06
MLP,mlp,0.005,15000,Tanh(),3,1,1958,mlp_n_3_b_1_seed_1958,2.3950178729137406e-05,0.4694235622882843,13,111.66168236732483,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_1_seed_1958.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_1_seed_1958.json,3.574884249246679e-05,3.9678883949818556e-05
MLP,mlp,0.005,15000,Tanh(),3,1,1962,mlp_n_3_b_1_seed_1962,0.00011972904758295044,2.3466897010803223,13,113.60994458198547,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_1_seed_1962.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_1_seed_1962.json,0.00016234525537583977,0.00015783952272613533
MLP,mlp,0.005,15000,Tanh(),3,1,1970,mlp_n_3_b_1_seed_1970,8.934752258937806e-05,1.751211404800415,13,121.75913262367249,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_1_seed_1970.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_1_seed_1970.json,0.00011931799963349476,0.00012314115483604837
MLP,mlp,0.005,15000,Tanh(),3,1,1994,mlp_n_3_b_1_seed_1994,1.3896927157475147e-05,0.2723797559738159,13,130.57283997535706,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_1_seed_1994.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_1_seed_1994.json,2.2180316591402516e-05,2.3618567993253237e-05
MLP,mlp,0.005,15000,Tanh(),3,1,2002,mlp_n_3_b_1_seed_2002,0.00010117117926711217,1.9829553365707397,13,128.3979206085205,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_1_seed_2002.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_1_seed_2002.json,0.00013340289297048002,0.00013343827027711085
MLP,mlp,0.005,15000,Tanh(),3,1,1900,mlp_n_3_b_1_seed_1900,3.964111238019541e-05,0.7769656777381897,13,120.7797691822052,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_1_seed_1900.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_1_seed_1900.json,5.457793304231018e-05,5.469651114253793e-05
MLP,mlp,0.005,15000,Tanh(),3,1,1905,mlp_n_3_b_1_seed_1905,0.00010121684317709878,1.9838502407073975,13,119.02115893363953,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_1_seed_1905.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_1_seed_1905.json,0.00013396392751019448,0.0001340056183107663
MLP,mlp,0.005,15000,Tanh(),3,1,1924,mlp_n_3_b_1_seed_1924,0.00022712665668223053,4.4516825675964355,13,118.43591737747192,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_1_seed_1924.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_1_seed_1924.json,0.00029590632766485214,0.00029938742110971364
MLP,mlp,0.005,15000,Tanh(),3,1,1925,mlp_n_3_b_1_seed_1925,0.0001312948443228379,2.573378801345825,13,93.76508474349976,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_1_seed_1925.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_1_seed_1925.json,0.00018040387658402324,0.0001811188222200144
MLP,mlp,0.005,15000,Tanh(),3,1,1926,mlp_n_3_b_1_seed_1926,0.00010199832468060777,1.9991672039031982,13,99.45254635810852,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_1_seed_1926.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_1_seed_1926.json,0.00013628587475977838,0.00013640924371429718
MLP,mlp,0.005,15000,Tanh(),3,2,1958,mlp_n_3_b_2_seed_1958,1.2407626854837872e-05,0.24318942427635193,25,175.17551970481873,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_2_seed_1958.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_2_seed_1958.json,1.5371188055723906e-05,1.5859606355661528e-05
MLP,mlp,0.005,15000,Tanh(),3,2,1962,mlp_n_3_b_2_seed_1962,7.6013111538486555e-06,0.14898568391799927,25,126.15563035011292,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_2_seed_1962.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_2_seed_1962.json,1.4335022569866851e-05,1.5175900125541375e-05
